DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas,TOTAL_CASOS,POBLACION,TASA_INCIDENCIA,ESTRATO,PRODUCCION
ALCA,LA UNION,2023,7,34.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1795.0,18.941504178272982,NO MINERIA,0.0
ALCA,LA UNION,2023,8,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1795.0,16.71309192200557,NO MINERIA,0.0
ALCA,LA UNION,2023,9,29.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1795.0,16.15598885793872,NO MINERIA,0.0
ALCA,LA UNION,2023,10,37.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1795.0,20.61281337047354,NO MINERIA,0.0
ALCA,LA UNION,2023,11,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1795.0,13.927576601671309,NO MINERIA,0.0
ALCA,LA UNION,2023,12,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1795.0,11.699164345403899,NO MINERIA,0.0
ALTO SELVA ALEGRE,AREQUIPA,2021,1,124.0,2.0,2.0,2.0,2.0,0.0,0.0,128.0,90180.0,1.419383455311599,PEQUEÑO PRODUCTOR MINERO,5200.0
ALTO SELVA ALEGRE,AREQUIPA,2021,2,64.0,0.0,13.0,0.0,9.0,0.0,0.0,77.0,90180.0,0.8538478598358838,PEQUEÑO PRODUCTOR MINERO,200.0
ALTO SELVA ALEGRE,AREQUIPA,2021,3,79.0,0.0,9.0,0.0,6.0,0.0,0.0,88.0,90180.0,0.9758261255267244,PEQUEÑO PRODUCTOR MINERO,6000.0
ALTO SELVA ALEGRE,AREQUIPA,2021,4,116.0,1.0,8.0,1.0,5.0,0.0,1.0,125.0,90180.0,1.3861166555777333,PEQUEÑO PRODUCTOR MINERO,1800.0
