DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas,TOTAL_CASOS,POBLACION,TASA_INCIDENCIA
AREQUIPA,AREQUIPA,2022,1,608,3,17,1,13,0,4,628,54396.0,11.544966541657475
AREQUIPA,AREQUIPA,2022,2,283,4,19,3,16,0,1,306,54396.0,5.625413633355393
AREQUIPA,AREQUIPA,2022,3,473,1,19,0,12,0,2,493,54396.0,9.0631664092948
AREQUIPA,AREQUIPA,2022,4,739,3,16,3,11,0,1,758,54396.0,13.93484815059931
AREQUIPA,AREQUIPA,2022,5,1283,10,22,5,18,0,4,1315,54396.0,24.174571659680858
AREQUIPA,AREQUIPA,2022,6,1764,14,26,4,16,0,6,1804,54396.0,33.164203250238984
AREQUIPA,AREQUIPA,2022,7,1953,15,20,5,8,0,4,1988,54396.0,36.54680491212589
AREQUIPA,AREQUIPA,2022,8,1670,6,25,4,18,0,0,1701,54396.0,31.27068166776969
AREQUIPA,AREQUIPA,2022,9,1523,4,24,0,12,0,7,1551,54396.0,28.513125965144496
AREQUIPA,AREQUIPA,2022,10,1525,9,17,1,9,0,2,1551,54396.0,28.513125965144496
AREQUIPA,AREQUIPA,2022,11,1277,4,18,2,15,0,2,1299,54396.0,23.88043238473417
AREQUIPA,AREQUIPA,2022,12,2667,20,40,8,19,0,16,2727,54396.0,50.132362673726014
AREQUIPA,AREQUIPA,2023,1,587,1,12,0,4,0,6,600,54362.0,11.03712151870792
AREQUIPA,AREQUIPA,2023,2,735,3,17,0,7,0,1,755,54362.0,13.8883779110408
AREQUIPA,AREQUIPA,2023,3,1033,6,12,1,7,0,1,1051,54362.0,19.33335786027004
AREQUIPA,AREQUIPA,2023,4,1832,19,20,7,10,0,2,1871,54362.0,34.41742393583753
AREQUIPA,AREQUIPA,2023,5,1806,44,23,11,6,0,4,1873,54362.0,34.454214340899895
AREQUIPA,AREQUIPA,2023,6,1596,37,35,13,7,0,6,1668,54362.0,30.68319782200802
