DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ESTRATO,PRODUCCION
CERRO COLORADO,AREQUIPA,2024,1,PRODUCTOR MINERO ARTESANAL,32.0
CERRO COLORADO,AREQUIPA,2024,1,RÉGIMEN GENERAL,750.0
CERRO COLORADO,AREQUIPA,2024,2,PEQUEÑO PRODUCTOR MINERO,2227.0
CERRO COLORADO,AREQUIPA,2024,2,PRODUCTOR MINERO ARTESANAL,204.0
CERRO COLORADO,AREQUIPA,2024,2,RÉGIMEN GENERAL,100.0
CERRO COLORADO,AREQUIPA,2024,3,PEQUEÑO PRODUCTOR MINERO,2050.0
CERRO COLORADO,AREQUIPA,2024,3,PRODUCTOR MINERO ARTESANAL,510.0
CERRO COLORADO,AREQUIPA,2024,3,RÉGIMEN GENERAL,0.0
CERRO COLORADO,AREQUIPA,2024,4,PEQUEÑO PRODUCTOR MINERO,2940.0
CERRO COLORADO,AREQUIPA,2024,4,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2024,4,RÉGIMEN GENERAL,0.0
CERRO COLORADO,AREQUIPA,2024,5,PEQUEÑO PRODUCTOR MINERO,378.0
CERRO COLORADO,AREQUIPA,2024,5,PRODUCTOR MINERO ARTESANAL,51.0
CERRO COLORADO,AREQUIPA,2024,5,RÉGIMEN GENERAL,255.0
CERRO COLORADO,AREQUIPA,2024,6,PEQUEÑO PRODUCTOR MINERO,6465.0
CERRO COLORADO,AREQUIPA,2024,6,PRODUCTOR MINERO ARTESANAL,941.0
CERRO COLORADO,AREQUIPA,2024,6,RÉGIMEN GENERAL,177.0
CERRO COLORADO,AREQUIPA,2024,7,PEQUEÑO PRODUCTOR MINERO,7755.0
CERRO COLORADO,AREQUIPA,2024,7,PRODUCTOR MINERO ARTESANAL,790.0
CERRO COLORADO,AREQUIPA,2024,7,RÉGIMEN GENERAL,184.0
CERRO COLORADO,AREQUIPA,2024,8,PEQUEÑO PRODUCTOR MINERO,943.5
CERRO COLORADO,AREQUIPA,2024,8,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2024,8,RÉGIMEN GENERAL,342.0
CERRO COLORADO,AREQUIPA,2024,9,PEQUEÑO PRODUCTOR MINERO,590.0
CERRO COLORADO,AREQUIPA,2024,9,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2024,9,RÉGIMEN GENERAL,254.0
CERRO COLORADO,AREQUIPA,2024,10,PEQUEÑO PRODUCTOR MINERO,505.0
CERRO COLORADO,AREQUIPA,2024,10,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2024,10,RÉGIMEN GENERAL,280.0
CERRO COLORADO,AREQUIPA,2024,11,PEQUEÑO PRODUCTOR MINERO,198.0
CERRO COLORADO,AREQUIPA,2024,11,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2024,11,RÉGIMEN GENERAL,0.0
CERRO COLORADO,AREQUIPA,2024,12,PEQUEÑO PRODUCTOR MINERO,1647.0
CERRO COLORADO,AREQUIPA,2024,12,PRODUCTOR MINERO ARTESANAL,318.0
CERRO COLORADO,AREQUIPA,2024,12,RÉGIMEN GENERAL,0.0
CHAPARRA,CARAVELI,2021,1,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2021,1,RÉGIMEN GENERAL,1050.0
CHAPARRA,CARAVELI,2021,2,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2021,2,RÉGIMEN GENERAL,2350.0
CHAPARRA,CARAVELI,2021,3,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2021,3,RÉGIMEN GENERAL,1500.0
CHAPARRA,CARAVELI,2021,4,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2021,4,RÉGIMEN GENERAL,520.0
CHAPARRA,CARAVELI,2021,5,PEQUEÑO PRODUCTOR MINERO,60.0
CHAPARRA,CARAVELI,2021,5,RÉGIMEN GENERAL,1198.0
CHAPARRA,CARAVELI,2021,6,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2021,6,RÉGIMEN GENERAL,873.0
CHAPARRA,CARAVELI,2021,7,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2021,7,RÉGIMEN GENERAL,765.0
CHAPARRA,CARAVELI,2021,8,PEQUEÑO PRODUCTOR MINERO,30.0
CHAPARRA,CARAVELI,2021,8,RÉGIMEN GENERAL,285.0
CHAPARRA,CARAVELI,2021,9,PEQUEÑO PRODUCTOR MINERO,10.0
CHAPARRA,CARAVELI,2021,9,RÉGIMEN GENERAL,387.0
CHAPARRA,CARAVELI,2021,10,PEQUEÑO PRODUCTOR MINERO,60.0
CHAPARRA,CARAVELI,2021,10,RÉGIMEN GENERAL,595.0
CHAPARRA,CARAVELI,2021,11,PEQUEÑO PRODUCTOR MINERO,280.0
CHAPARRA,CARAVELI,2021,11,RÉGIMEN GENERAL,620.0
CHAPARRA,CARAVELI,2021,12,PEQUEÑO PRODUCTOR MINERO,1817.0
CHAPARRA,CARAVELI,2021,12,RÉGIMEN GENERAL,370.0
CHAPARRA,CARAVELI,2022,1,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2022,1,RÉGIMEN GENERAL,515.0
CHAPARRA,CARAVELI,2022,2,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2022,2,RÉGIMEN GENERAL,400.0
CHAPARRA,CARAVELI,2022,3,PEQUEÑO PRODUCTOR MINERO,150.0
CHAPARRA,CARAVELI,2022,3,RÉGIMEN GENERAL,360.0
CHAPARRA,CARAVELI,2022,4,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2022,4,RÉGIMEN GENERAL,750.0
CHAPARRA,CARAVELI,2022,5,PEQUEÑO PRODUCTOR MINERO,60.0
CHAPARRA,CARAVELI,2022,5,RÉGIMEN GENERAL,825.0
CHAPARRA,CARAVELI,2022,6,PEQUEÑO PRODUCTOR MINERO,340.0
CHAPARRA,CARAVELI,2022,6,RÉGIMEN GENERAL,215.0
CHAPARRA,CARAVELI,2022,7,PEQUEÑO PRODUCTOR MINERO,20.0
CHAPARRA,CARAVELI,2022,7,RÉGIMEN GENERAL,265.0
CHAPARRA,CARAVELI,2022,8,PEQUEÑO PRODUCTOR MINERO,0.0
CHAPARRA,CARAVELI,2022,8,RÉGIMEN GENERAL,250.0
